position;rider;result
115;Dmitriy Gruzdev (Kaz) Astana Pro Team;3:24:42
116;Maciej Bodnar (Pol) Bora-Hansgrohe;3:26:58
117;Julien Simon (Fra) Cofidis, Solutions Credits;3:29:21
118;Reinardt Janse Van Rensburg (RSA) Dimension Data;3:30:54
119;Javier Moreno (Spa) Bahrain-Merida;3:32:06
120;Andriy Grivko (Ukr) Astana Pro Team;3:32:14
121;John Degenkolb (Ger) Trek-Segafredo;3:35:14
122;Sonny Colbrelli (Ita) Bahrain-Merida;3:36:22
123;Lars Ytting Bak (Den) Lotto Soudal;3:37:04
124;Dion Smith (NZl) Wanty - Groupe Gobert;3:39:24
125;Laurent Pichon (Fra) Team Fortuneo - Oscaro;3:39:45
126;Adrien Petit (Fra) Direct Energie;3:41:34
127;Vegard Stake Laengen (Nor) UAE Team Emirates;3:41:52
128;Cyril Lemoine (Fra) Cofidis, Solutions Credits;3:43:45
129;Mike Teunissen (Ned) Team Sunweb;3:43:52
130;Alexander Kristoff (Nor) Katusha-Alpecin;3:45:40
131;Marcus Burghardt (Ger) Bora-Hansgrohe;3:45:57
132;Frederik Backaert (Bel) Wanty - Groupe Gobert;3:46:36
133;Christophe Laporte (Fra) Cofidis, Solutions Credits;3:46:47
134;Yohann Gene (Fra) Direct Energie;3:47:08
135;Markel Irizar (Spa) Trek-Segafredo;3:47:10
136;Jurgen Roelandts (Bel) Lotto Soudal;3:47:20
137;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;3:51:18
138;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;3:51:29
139;Julien Vermote (Bel) Quick-Step Floors;3:52:54
140;Thomas Boudat (Fra) Direct Energie;3:53:08
141;Stephen Cummings (GBr) Dimension Data;3:53:10
142;Roy Curvers (Ned) Team Sunweb;3:53:38
143;Grega Bole (Slo) Bahrain-Merida;3:55:29
144;Christian Knees (Ger) Team Sky;3:55:31
145;Rick Zabel (Ger) Katusha-Alpecin;3:55:48
146;Michael Gogl (Aut) Trek-Segafredo;3:59:06
147;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;3:59:48
148;Ramon Sinkeldam (Ned) Team Sunweb;4:01:54
149;André Greipel (Ger) Lotto Soudal;4:02:54
150;Reto Hollenstein (Swi) Katusha-Alpecin;4:03:45
151;Mathew Hayman (Aus) Orica-Scott;4:05:17
152;Davide Cimolai (Ita) FDJ;4:06:15
153;Bernhard Eisel (Aut) Dimension Data;4:10:18
154;Fabio Sabatini (Ita) Quick-Step Floors;4:10:25
155;Marco Haller (Aut) Katusha-Alpecin;4:13:50
156;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;4:16:02
157;Albert Timmer (Ned) Team Sunweb;4:16:21
158;Olivier Le Gac (Fra) FDJ;4:17:21
159;Taylor Phinney (USA) Cannondale-Drapac;4:18:15
160;Borut Bozic (Slo) Bahrain-Merida;4:18:41
161;Florian Senechal (Fra) Cofidis, Solutions Credits;4:19:17
162;Jaco Venter (RSA) Dimension Data;4:20:16
163;Dimitri Claeys (Bel) Cofidis, Solutions Credits;4:25:01
164;Robert Wagner (Ger) Team LottoNl-Jumbo;4:25:12
165;Rüdiger Selig (Ger) Bora-Hansgrohe;4:26:43
166;Thomas Leezer (Ned) Team LottoNl-Jumbo;4:32:21
167;Luke Rowe (GBr) Team Sky;4:35:52
