position;rider;result
1;Christopher Froome (GBr) Team Sky;86:20:55
2;Rigoberto Uran (Col) Cannondale-Drapac;0:00:54
3;Romain Bardet (Fra) AG2R La Mondiale;0:02:20
4;Mikel Landa (Spa) Team Sky;0:02:21
5;Fabio Aru (Ita) Astana Pro Team;0:03:05
6;Daniel Martin (Irl) Quick-Step Floors;0:04:42
7;Simon Yates (GBr) Orica-Scott;0:06:14
8;Louis Meintjes (RSA) UAE Team Emirates;0:08:20
9;Alberto Contador (Spa) Trek-Segafredo;0:08:49
10;Warren Barguil (Fra) Team Sunweb;0:09:25
11;Damiano Caruso (Ita) BMC Racing Team;0:14:48
12;Nairo Quintana (Col) Movistar Team;0:15:28
13;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:24:38
14;Mikel Nieve (Spa) Team Sky;0:25:28
15;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:33:21
16;Brice Feillu (Fra) Team Fortuneo - Oscaro;0:36:46
17;Bauke Mollema (Ned) Trek-Segafredo;0:37:43
18;Carlos Betancur (Col) Movistar Team;0:37:47
19;Serge Pauwels (Bel) Dimension Data;0:39:36
20;Tiesj Benoot (Bel) Lotto Soudal;0:42:04
21;Tony Gallopin (Fra) Lotto Soudal;0:42:39
22;Jan Bakelants (Bel) AG2R La Mondiale;0:50:04
23;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:53:52
24;Roman Kreuziger (Cze) Orica-Scott;0:59:58
25;Sylvain Chavanel (Fra) Direct Energie;1:04:22
26;Romain Hardy (Fra) Team Fortuneo - Oscaro;1:12:51
27;Daniel Navarro (Spa) Cofidis, Solutions Credits;1:15:26
28;Sergio Henao (Col) Team Sky;1:16:32
29;Pierre Latour (Fra) AG2R La Mondiale;1:18:45
30;Mathias Frank (Swi) AG2R La Mondiale;1:21:16
31;Robert Kiserlovski (Cro) Katusha-Alpecin;1:25:25
32;Amael Moinard (Fra) BMC Racing Team;1:32:02
33;Nicolas Roche (Irl) BMC Racing Team;1:32:35
34;Thomas Degand (Bel) Wanty - Groupe Gobert;1:34:02
35;Lilian Calmejane (Fra) Direct Energie;1:35:16
36;Rudy Molard (Fra) FDJ;1:35:55
37;Ben Gastauer (Lux) AG2R La Mondiale;1:38:33
38;Primoz Roglic (Slo) Team LottoNl-Jumbo;1:44:41
39;Diego Ulissi (Ita) UAE Team Emirates;1:45:23
40;Marco Minnaard (Ned) Wanty - Groupe Gobert;1:48:11
41;Darwin Atapuma (Col) UAE Team Emirates;1:50:31
42;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;1:57:29
43;Nathan Brown (USA) Cannondale-Drapac;1:57:52
44;Andrey Zeits (Kaz) Astana Pro Team;1:59:09
45;Janez Brajkovic (Slo) Bahrain-Merida;2:00:38
46;Jarlinson Pantano (Col) Trek-Segafredo;2:01:30
47;Daryl Impey (RSA) Orica-Scott;2:01:59
48;Cyril Gautier (Fra) AG2R La Mondiale;2:03:24
49;Andrew Talansky (USA) Cannondale-Drapac;2:03:27
50;Kristijan Durasek (Cro) UAE Team Emirates;2:04:53
51;Thomas De Gendt (Bel) Lotto Soudal;2:05:36
52;Haimar Zubeldia (Spa) Trek-Segafredo;2:06:30
53;Gianluca Brambilla (Ita) Quick-Step Floors;2:06:57
54;Pierre Rolland (Fra) Cannondale-Drapac;2:11:54
55;Maxime Bouet (Fra) Team Fortuneo - Oscaro;2:13:23
56;Luis Angel Mate (Spa) Cofidis, Solutions Credits;2:15:28
57;Michal Kwiatkowski (Pol) Team Sky;2:17:48
58;Greg Van Avermaet (Bel) BMC Racing Team;2:19:14
59;Jens Keukeleire (Bel) Orica-Scott;2:22:26
60;Jonathan Castroviejo (Spa) Movistar Team;2:22:44
61;Michael Valgren Andersen (Den) Astana Pro Team;2:25:36
62;Esteban Chaves (Col) Orica-Scott;2:27:34
63;Oliver Naesen (Bel) AG2R La Mondiale;2:28:02
64;Simon Geschke (Ger) Team Sunweb;2:28:57
65;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro;2:31:05
66;Romain Sicard (Fra) Direct Energie;2:33:24
67;Laurens Ten Dam (Ned) Team Sunweb;2:34:56
68;Axel Domont (Fra) AG2R La Mondiale;2:35:33
69;Michael Matthews (Aus) Team Sunweb;2:36:36
70;Koen De Kort (Ned) Trek-Segafredo;2:38:33
71;Alexey Lutsenko (Kaz) Astana Pro Team;2:39:10
72;Michael Schär (Swi) BMC Racing Team;2:41:54
73;Tsgabu Grmay (Eth) Bahrain-Merida;2:42:15
74;Tiago Machado (Por) Katusha-Alpecin;2:43:36
75;Maurits Lammertink (Ned) Katusha-Alpecin;2:44:01
76;Nicolas Edet (Fra) Cofidis, Solutions Credits;2:45:11
77;Dylan Van Baarle (Ned) Cannondale-Drapac;2:47:11
78;Edvald Boasson Hagen (Nor) Dimension Data;2:48:12
79;Stefan Küng (Swi) BMC Racing Team;2:49:17
80;Pawel Poljanski (Pol) Bora-Hansgrohe;2:53:42
81;Danilo Wyss (Swi) BMC Racing Team;2:53:51
82;Paul Martens (Ger) Team LottoNl-Jumbo;2:54:14
83;Ben Swift (GBr) UAE Team Emirates;2:54:48
84;Nikias Arndt (Ger) Team Sunweb;2:54:54
85;Elie Gesbert (Fra) Team Fortuneo - Oscaro;2:55:13
86;Simon Clarke (Aus) Cannondale-Drapac;2:55:27
87;Andrey Amador (CRc) Movistar Team;2:56:43
88;Damien Howson (Aus) Orica-Scott;2:56:57
89;Angelo Tulik (Fra) Direct Energie;2:57:05
90;Alberto Bettiol (Ita) Cannondale-Drapac;2:57:56
91;Thomas Voeckler (Fra) Direct Energie;2:58:51
92;Imanol Erviti (Spa) Movistar Team;3:00:21
93;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;3:04:11
94;Jay McCarthy (Aus) Bora-Hansgrohe;3:05:13
95;Nils Politt (Ger) Katusha-Alpecin;3:05:52
96;Marco Marcato (Ita) UAE Team Emirates;3:05:53
97;Jesus Herrada (Spa) Movistar Team;3:06:05
98;Michael Albasini (Swi) Orica-Scott;3:06:55
99;Alessandro De Marchi (Ita) BMC Racing Team;3:07:25
100;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;3:09:38
101;Tony Martin (Ger) Katusha-Alpecin;3:10:18
102;Zdenek Stybar (Cze) Quick-Step Floors;3:12:12
103;Florian Vachon (Fra) Team Fortuneo - Oscaro;3:13:10
104;Daniele Bennati (Ita) Movistar Team;3:13:44
105;Jack Bauer (NZl) Quick-Step Floors;3:15:13
106;Perrig Quemeneur (Fra) Direct Energie;3:15:40
107;Scott Thwaites (GBr) Dimension Data;3:16:28
108;Jasha Sütterlin (Ger) Movistar Team;3:17:53
109;Yukiya Arashiro (Jpn) Bahrain-Merida;3:18:16
110;Yoann Offredo (Fra) Wanty - Groupe Gobert;3:20:50
111;Matteo Bono (Ita) UAE Team Emirates;3:20:59
112;Vasil Kiryienka (Blr) Team Sky;3:21:15
113;Adam James Hansen (Aus) Lotto Soudal;3:22:31
114;Patrick Bevin (NZl) Cannondale-Drapac;3:23:00
